RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
USER	AcessoMercadoAzul1	1	START	1603127079148	1603127079148
USER	AcessoMercadoAzul1	2	START	1603127079434	1603127079434
USER	AcessoMercadoAzul1	3	START	1603127079684	1603127079684
USER	AcessoMercadoAzul1	4	START	1603127079934	1603127079934
USER	AcessoMercadoAzul1	5	START	1603127080184	1603127080184
USER	AcessoMercadoAzul1	6	START	1603127080523	1603127080523
USER	AcessoMercadoAzul1	7	START	1603127080854	1603127080854
USER	AcessoMercadoAzul1	8	START	1603127081184	1603127081184
USER	AcessoMercadoAzul1	9	START	1603127081494	1603127081494
USER	AcessoMercadoAzul1	10	START	1603127081824	1603127081824
USER	AcessoMercadoAzul1	11	START	1603127082154	1603127082154
USER	AcessoMercadoAzul1	12	START	1603127082404	1603127082404
USER	AcessoMercadoAzul1	13	START	1603127082654	1603127082654
USER	AcessoMercadoAzul1	14	START	1603127082903	1603127082903
USER	AcessoMercadoAzul1	15	START	1603127083154	1603127083154
USER	AcessoMercadoAzul1	16	START	1603127083493	1603127083493
USER	AcessoMercadoAzul1	17	START	1603127083823	1603127083823
USER	AcessoMercadoAzul1	18	START	1603127084154	1603127084154
USER	AcessoMercadoAzul1	19	START	1603127084494	1603127084494
REQUEST	13		request_0	1603127082655	1603127084487	OK	 
REQUEST	1		request_0	1603127079175	1603127084505	OK	 
REQUEST	6		request_0	1603127080524	1603127084502	OK	 
REQUEST	8		request_0	1603127081185	1603127084503	OK	 
REQUEST	10		request_0	1603127081825	1603127084487	OK	 
REQUEST	9		request_0	1603127081495	1603127084504	OK	 
REQUEST	15		request_0	1603127083155	1603127084506	OK	 
REQUEST	16		request_0	1603127083495	1603127084503	OK	 
REQUEST	7		request_0	1603127080854	1603127084487	OK	 
REQUEST	2		request_0	1603127079435	1603127084489	OK	 
REQUEST	14		request_0	1603127082905	1603127084493	OK	 
REQUEST	12		request_0	1603127082405	1603127084487	OK	 
REQUEST	5		request_0	1603127080185	1603127084502	OK	 
REQUEST	11		request_0	1603127082155	1603127084502	OK	 
REQUEST	3		request_0	1603127079685	1603127084482	OK	 
REQUEST	4		request_0	1603127079934	1603127084482	OK	 
USER	AcessoMercadoAzul1	20	START	1603127084824	1603127084824
USER	AcessoMercadoAzul1	21	START	1603127085154	1603127085154
USER	AcessoMercadoAzul1	22	START	1603127085404	1603127085404
USER	AcessoMercadoAzul1	23	START	1603127085655	1603127085655
USER	AcessoMercadoAzul1	24	START	1603127085904	1603127085904
USER	AcessoMercadoAzul1	25	START	1603127086153	1603127086153
USER	AcessoMercadoAzul1	26	START	1603127086494	1603127086494
USER	AcessoMercadoAzul1	27	START	1603127086824	1603127086824
USER	AcessoMercadoAzul1	28	START	1603127087154	1603127087154
USER	AcessoMercadoAzul1	29	START	1603127087494	1603127087494
USER	AcessoMercadoAzul1	30	START	1603127087824	1603127087824
USER	AcessoMercadoAzul1	31	START	1603127088153	1603127088153
USER	AcessoMercadoAzul1	32	START	1603127088404	1603127088404
USER	AcessoMercadoAzul1	33	START	1603127088654	1603127088654
USER	AcessoMercadoAzul1	34	START	1603127088904	1603127088904
USER	AcessoMercadoAzul1	35	START	1603127089154	1603127089154
USER	AcessoMercadoAzul1	36	START	1603127089494	1603127089494
USER	AcessoMercadoAzul1	37	START	1603127089823	1603127089823
USER	AcessoMercadoAzul1	38	START	1603127090154	1603127090154
USER	AcessoMercadoAzul1	39	START	1603127090494	1603127090494
USER	AcessoMercadoAzul1	40	START	1603127090824	1603127090824
USER	AcessoMercadoAzul1	41	START	1603127091153	1603127091153
USER	AcessoMercadoAzul1	42	START	1603127091404	1603127091404
USER	AcessoMercadoAzul1	43	START	1603127091654	1603127091654
USER	AcessoMercadoAzul1	44	START	1603127091904	1603127091904
USER	AcessoMercadoAzul1	45	START	1603127092154	1603127092154
USER	AcessoMercadoAzul1	46	START	1603127092494	1603127092494
USER	AcessoMercadoAzul1	47	START	1603127092824	1603127092824
USER	AcessoMercadoAzul1	48	START	1603127093154	1603127093154
USER	AcessoMercadoAzul1	49	START	1603127093495	1603127093495
USER	AcessoMercadoAzul1	50	START	1603127093824	1603127093824
USER	AcessoMercadoAzul1	51	START	1603127094153	1603127094153
USER	AcessoMercadoAzul1	52	START	1603127094404	1603127094404
USER	AcessoMercadoAzul1	53	START	1603127094653	1603127094653
USER	AcessoMercadoAzul1	54	START	1603127094904	1603127094904
USER	AcessoMercadoAzul1	55	START	1603127095154	1603127095154
USER	AcessoMercadoAzul1	56	START	1603127095494	1603127095494
USER	AcessoMercadoAzul1	57	START	1603127095824	1603127095824
USER	AcessoMercadoAzul1	58	START	1603127096154	1603127096154
USER	AcessoMercadoAzul1	59	START	1603127096494	1603127096494
USER	AcessoMercadoAzul1	60	START	1603127096823	1603127096823
USER	AcessoMercadoAzul1	61	START	1603127097154	1603127097154
USER	AcessoMercadoAzul1	62	START	1603127097404	1603127097404
USER	AcessoMercadoAzul1	63	START	1603127097654	1603127097654
USER	AcessoMercadoAzul1	64	START	1603127097904	1603127097904
USER	AcessoMercadoAzul1	65	START	1603127098155	1603127098155
