RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603129416590	teste script acesso mercado azul	3.0.2
USER	AcessoMercadoAzul1	1	START	1603129418834	1603129418834
USER	AcessoMercadoAzul1	2	START	1603129419112	1603129419112
USER	AcessoMercadoAzul1	3	START	1603129419362	1603129419362
USER	AcessoMercadoAzul1	4	START	1603129419611	1603129419611
USER	AcessoMercadoAzul1	5	START	1603129419862	1603129419862
USER	AcessoMercadoAzul1	6	START	1603129420202	1603129420202
USER	AcessoMercadoAzul1	7	START	1603129420532	1603129420532
USER	AcessoMercadoAzul1	8	START	1603129420862	1603129420862
USER	AcessoMercadoAzul1	9	START	1603129421182	1603129421182
USER	AcessoMercadoAzul1	10	START	1603129421512	1603129421512
USER	AcessoMercadoAzul1	11	START	1603129421842	1603129421842
USER	AcessoMercadoAzul1	12	START	1603129422092	1603129422092
USER	AcessoMercadoAzul1	13	START	1603129422342	1603129422342
USER	AcessoMercadoAzul1	14	START	1603129422592	1603129422592
USER	AcessoMercadoAzul1	15	START	1603129422842	1603129422842
USER	AcessoMercadoAzul1	16	START	1603129423182	1603129423182
USER	AcessoMercadoAzul1	17	START	1603129423512	1603129423512
USER	AcessoMercadoAzul1	18	START	1603129423842	1603129423842
USER	AcessoMercadoAzul1	19	START	1603129424182	1603129424182
REQUEST	17		request_0	1603129423512	1603129424246	OK	 
REQUEST	16		request_0	1603129423182	1603129424259	OK	 
REQUEST	15		request_0	1603129422843	1603129424259	OK	 
REQUEST	8		request_0	1603129420863	1603129424246	OK	 
REQUEST	5		request_0	1603129419863	1603129424245	OK	 
REQUEST	12		request_0	1603129422093	1603129424245	OK	 
REQUEST	4		request_0	1603129419612	1603129424246	OK	 
REQUEST	6		request_0	1603129420207	1603129424246	OK	 
REQUEST	10		request_0	1603129421513	1603129424245	OK	 
REQUEST	7		request_0	1603129420533	1603129424246	OK	 
REQUEST	13		request_0	1603129422343	1603129424259	OK	 
REQUEST	2		request_0	1603129419113	1603129424246	OK	 
REQUEST	11		request_0	1603129421843	1603129424259	OK	 
REQUEST	3		request_0	1603129419363	1603129424260	OK	 
REQUEST	9		request_0	1603129421183	1603129424245	OK	 
REQUEST	14		request_0	1603129422593	1603129424245	OK	 
USER	AcessoMercadoAzul1	20	START	1603129424512	1603129424512
USER	AcessoMercadoAzul1	21	START	1603129424842	1603129424842
USER	AcessoMercadoAzul1	22	START	1603129425092	1603129425092
USER	AcessoMercadoAzul1	23	START	1603129425341	1603129425341
USER	AcessoMercadoAzul1	24	START	1603129425592	1603129425592
USER	AcessoMercadoAzul1	25	START	1603129425842	1603129425842
USER	AcessoMercadoAzul1	26	START	1603129426182	1603129426182
USER	AcessoMercadoAzul1	27	START	1603129426512	1603129426512
USER	AcessoMercadoAzul1	28	START	1603129426842	1603129426842
USER	AcessoMercadoAzul1	29	START	1603129427182	1603129427182
USER	AcessoMercadoAzul1	30	START	1603129427512	1603129427512
USER	AcessoMercadoAzul1	31	START	1603129427842	1603129427842
USER	AcessoMercadoAzul1	32	START	1603129428092	1603129428092
USER	AcessoMercadoAzul1	33	START	1603129428342	1603129428342
USER	AcessoMercadoAzul1	34	START	1603129428592	1603129428592
USER	AcessoMercadoAzul1	35	START	1603129428842	1603129428842
USER	AcessoMercadoAzul1	36	START	1603129429182	1603129429182
USER	AcessoMercadoAzul1	37	START	1603129429512	1603129429512
USER	AcessoMercadoAzul1	38	START	1603129429842	1603129429842
USER	AcessoMercadoAzul1	39	START	1603129430183	1603129430183
USER	AcessoMercadoAzul1	40	START	1603129430512	1603129430512
USER	AcessoMercadoAzul1	41	START	1603129430842	1603129430842
USER	AcessoMercadoAzul1	42	START	1603129431092	1603129431092
USER	AcessoMercadoAzul1	43	START	1603129431342	1603129431342
USER	AcessoMercadoAzul1	44	START	1603129431592	1603129431592
USER	AcessoMercadoAzul1	45	START	1603129431842	1603129431842
USER	AcessoMercadoAzul1	46	START	1603129432182	1603129432182
USER	AcessoMercadoAzul1	47	START	1603129432512	1603129432512
USER	AcessoMercadoAzul1	48	START	1603129432842	1603129432842
USER	AcessoMercadoAzul1	49	START	1603129433182	1603129433182
USER	AcessoMercadoAzul1	50	START	1603129433512	1603129433512
USER	AcessoMercadoAzul1	51	START	1603129433842	1603129433842
USER	AcessoMercadoAzul1	52	START	1603129434092	1603129434092
USER	AcessoMercadoAzul1	53	START	1603129434343	1603129434343
REQUEST	1		request_0	1603129418853	1603129434381	OK	 
REQUEST	9		request_1	1603129424301	1603129434386	OK	 
REQUEST	6		request_1	1603129424296	1603129434387	OK	 
REQUEST	3		request_1	1603129424304	1603129434386	OK	 
REQUEST	11		request_1	1603129424304	1603129434389	OK	 
REQUEST	4		request_1	1603129424296	1603129434391	OK	 
REQUEST	14		request_1	1603129424304	1603129434392	OK	 
REQUEST	8		request_1	1603129424306	1603129434393	OK	 
REQUEST	13		request_1	1603129424299	1603129434396	OK	 
REQUEST	2		request_1	1603129424302	1603129434396	OK	 
REQUEST	10		request_1	1603129424296	1603129434396	OK	 
REQUEST	7		request_1	1603129424304	1603129434389	OK	 
REQUEST	5		request_1	1603129424296	1603129434398	OK	 
REQUEST	18		request_0	1603129423844	1603129434398	OK	 
REQUEST	16		request_1	1603129424298	1603129434401	OK	 
REQUEST	12		request_1	1603129424298	1603129434403	OK	 
REQUEST	15		request_1	1603129424299	1603129434395	OK	 
REQUEST	17		request_1	1603129424296	1603129434411	OK	 
REQUEST	1		request_1	1603129434389	1603129434423	OK	 
REQUEST	18		request_1	1603129434404	1603129434455	OK	 
USER	AcessoMercadoAzul1	54	START	1603129434592	1603129434592
USER	AcessoMercadoAzul1	55	START	1603129434842	1603129434842
