RUN	basic.CadastrarAnuncio	cadastraranuncio	1603488920280	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603488922625	1603488922625
USER	CadastrarAnuncio	2	START	1603488922975	1603488922975
USER	CadastrarAnuncio	3	START	1603488923315	1603488923315
USER	CadastrarAnuncio	4	START	1603488923645	1603488923645
USER	CadastrarAnuncio	5	START	1603488923975	1603488923975
USER	CadastrarAnuncio	6	START	1603488924315	1603488924315
USER	CadastrarAnuncio	7	START	1603488924645	1603488924645
USER	CadastrarAnuncio	8	START	1603488924965	1603488924965
USER	CadastrarAnuncio	9	START	1603488925295	1603488925295
USER	CadastrarAnuncio	10	START	1603488925635	1603488925635
USER	CadastrarAnuncio	11	START	1603488925965	1603488925965
USER	CadastrarAnuncio	12	START	1603488926295	1603488926295
USER	CadastrarAnuncio	13	START	1603488926635	1603488926635
USER	CadastrarAnuncio	14	START	1603488926965	1603488926965
USER	CadastrarAnuncio	15	START	1603488927295	1603488927295
USER	CadastrarAnuncio	16	START	1603488927635	1603488927635
USER	CadastrarAnuncio	17	START	1603488927964	1603488927964
USER	CadastrarAnuncio	18	START	1603488928295	1603488928295
USER	CadastrarAnuncio	19	START	1603488928635	1603488928635
REQUEST	3		Gerar Token	1603488923317	1603488928739	OK	 
REQUEST	2		Gerar Token	1603488922981	1603488928739	OK	 
REQUEST	14		Gerar Token	1603488926967	1603488928739	OK	 
REQUEST	5		Gerar Token	1603488923977	1603488928836	OK	 
REQUEST	12		Gerar Token	1603488926296	1603488928840	OK	 
REQUEST	4		Gerar Token	1603488923646	1603488928842	OK	 
REQUEST	6		Gerar Token	1603488924316	1603488928910	OK	 
USER	CadastrarAnuncio	20	START	1603488928965	1603488928965
REQUEST	1		Gerar Token	1603488922657	1603488929109	OK	 
REQUEST	16		Gerar Token	1603488927636	1603488929225	OK	 
REQUEST	11		Gerar Token	1603488925967	1603488929233	OK	 
USER	CadastrarAnuncio	21	START	1603488929295	1603488929295
REQUEST	10		Gerar Token	1603488925635	1603488929308	OK	 
REQUEST	15		Gerar Token	1603488927297	1603488929309	OK	 
REQUEST	19		Gerar Token	1603488928637	1603488929314	OK	 
REQUEST	13		Gerar Token	1603488926636	1603488929320	OK	 
REQUEST	9		Gerar Token	1603488925296	1603488929344	OK	 
REQUEST	8		Gerar Token	1603488924966	1603488929345	OK	 
REQUEST	7		Gerar Token	1603488924647	1603488929351	OK	 
REQUEST	17		Gerar Token	1603488927965	1603488929416	OK	 
REQUEST	18		Gerar Token	1603488928296	1603488929503	OK	 
REQUEST	20		Gerar Token	1603488928967	1603488929555	OK	 
USER	CadastrarAnuncio	22	START	1603488929635	1603488929635
REQUEST	21		Gerar Token	1603488929297	1603488929873	OK	 
USER	CadastrarAnuncio	23	START	1603488929965	1603488929965
REQUEST	22		Gerar Token	1603488929637	1603488930014	OK	 
USER	CadastrarAnuncio	24	START	1603488930295	1603488930295
REQUEST	23		Gerar Token	1603488929967	1603488930323	OK	 
USER	CadastrarAnuncio	25	START	1603488930635	1603488930635
REQUEST	24		Gerar Token	1603488930297	1603488930652	OK	 
USER	CadastrarAnuncio	26	START	1603488930965	1603488930965
REQUEST	25		Gerar Token	1603488930636	1603488930996	OK	 
USER	CadastrarAnuncio	27	START	1603488931295	1603488931295
REQUEST	26		Gerar Token	1603488930966	1603488931320	OK	 
USER	CadastrarAnuncio	28	START	1603488931635	1603488931635
REQUEST	27		Gerar Token	1603488931296	1603488931651	OK	 
USER	CadastrarAnuncio	29	START	1603488931965	1603488931965
REQUEST	28		Gerar Token	1603488931636	1603488932145	OK	 
USER	CadastrarAnuncio	30	START	1603488932295	1603488932295
REQUEST	29		Gerar Token	1603488931965	1603488932339	OK	 
USER	CadastrarAnuncio	31	START	1603488932635	1603488932635
REQUEST	30		Gerar Token	1603488932297	1603488932860	OK	 
USER	CadastrarAnuncio	32	START	1603488932965	1603488932965
REQUEST	31		Gerar Token	1603488932636	1603488933136	OK	 
USER	CadastrarAnuncio	33	START	1603488933295	1603488933295
REQUEST	32		Gerar Token	1603488932966	1603488933451	OK	 
USER	CadastrarAnuncio	34	START	1603488933635	1603488933635
REQUEST	33		Gerar Token	1603488933296	1603488933756	OK	 
USER	CadastrarAnuncio	35	START	1603488933965	1603488933965
USER	CadastrarAnuncio	36	START	1603488934295	1603488934295
USER	CadastrarAnuncio	37	START	1603488934635	1603488934635
USER	CadastrarAnuncio	38	START	1603488934965	1603488934965
USER	CadastrarAnuncio	39	START	1603488935295	1603488935295
USER	CadastrarAnuncio	40	START	1603488935635	1603488935635
USER	CadastrarAnuncio	41	START	1603488935965	1603488935965
USER	CadastrarAnuncio	42	START	1603488936295	1603488936295
USER	CadastrarAnuncio	43	START	1603488936635	1603488936635
USER	CadastrarAnuncio	44	START	1603488936965	1603488936965
USER	CadastrarAnuncio	45	START	1603488937295	1603488937295
USER	CadastrarAnuncio	46	START	1603488937635	1603488937635
USER	CadastrarAnuncio	47	START	1603488937965	1603488937965
USER	CadastrarAnuncio	48	START	1603488938295	1603488938295
USER	CadastrarAnuncio	49	START	1603488938635	1603488938635
REQUEST	34		Gerar Token	1603488933637	1603488938823	OK	 
USER	CadastrarAnuncio	50	START	1603488939082	1603488939082
REQUEST	9		request_0	1603488934366	1603488939166	OK	 
REQUEST	20		request_0	1603488934576	1603488939166	OK	 
REQUEST	12		request_0	1603488933856	1603488939172	OK	 
REQUEST	15		request_0	1603488934326	1603488939173	OK	 
REQUEST	6		request_0	1603488933925	1603488939180	OK	 
REQUEST	14		request_0	1603488933779	1603488939188	OK	 
REQUEST	7		request_0	1603488934366	1603488939188	OK	 
REQUEST	5		request_0	1603488933856	1603488939188	OK	 
REQUEST	1		request_0	1603488934125	1603488939208	OK	 
REQUEST	24		request_0	1603488935666	1603488939208	OK	 
REQUEST	2		request_0	1603488933779	1603488939208	OK	 
REQUEST	26		request_0	1603488936335	1603488939213	OK	 
REQUEST	13		request_0	1603488934336	1603488939229	OK	 
REQUEST	11		request_0	1603488934255	1603488939229	OK	 
REQUEST	32		request_0	1603488938466	1603488939229	OK	 
REQUEST	3		request_0	1603488933785	1603488939256	OK	 
USER	CadastrarAnuncio	51	START	1603488939295	1603488939295
REQUEST	27		request_0	1603488936665	1603488939335	OK	 
REQUEST	30		request_0	1603488937876	1603488939335	OK	 
REQUEST	25		request_0	1603488936015	1603488939335	OK	 
REQUEST	21		request_0	1603488934896	1603488939339	OK	 
REQUEST	19		request_0	1603488934336	1603488939342	OK	 
REQUEST	23		request_0	1603488935345	1603488939343	OK	 
REQUEST	16		request_0	1603488934245	1603488939335	OK	 
REQUEST	4		request_0	1603488933866	1603488939348	OK	 
REQUEST	18		request_0	1603488934525	1603488939350	OK	 
REQUEST	22		request_0	1603488935035	1603488939351	OK	 
REQUEST	28		request_0	1603488937165	1603488939353	OK	 
REQUEST	29		request_0	1603488937356	1603488939350	OK	 
REQUEST	33		request_0	1603488938776	1603488939358	OK	 
REQUEST	10		request_0	1603488934326	1603488939366	OK	 
REQUEST	31		request_0	1603488938156	1603488939362	OK	 
REQUEST	8		request_0	1603488934366	1603488939376	OK	 
REQUEST	3		request_1	1603488939337	1603488939369	OK	 
REQUEST	11		request_1	1603488939330	1603488939369	OK	 
REQUEST	5		request_1	1603488939330	1603488939380	OK	 
REQUEST	7		request_1	1603488939331	1603488939378	OK	 
REQUEST	17		request_0	1603488934436	1603488939384	OK	 
REQUEST	13		request_1	1603488939336	1603488939385	OK	 
REQUEST	2		request_1	1603488939346	1603488939385	OK	 
REQUEST	20		request_1	1603488939330	1603488939379	OK	 
REQUEST	5		request_2	1603488939336	1603488939387	OK	 
REQUEST	9		request_1	1603488939331	1603488939392	OK	 
REQUEST	2		request_2	1603488939348	1603488939393	OK	 
REQUEST	14		request_1	1603488939330	1603488939395	OK	 
REQUEST	12		request_1	1603488939339	1603488939395	OK	 
REQUEST	25		request_1	1603488939358	1603488939396	OK	 
REQUEST	21		request_1	1603488939360	1603488939392	OK	 
REQUEST	14		request_2	1603488939332	1603488939397	OK	 
REQUEST	27		request_1	1603488939365	1603488939397	OK	 
REQUEST	3		request_2	1603488939339	1603488939388	OK	 
REQUEST	1		request_1	1603488939341	1603488939396	OK	 
REQUEST	4		request_1	1603488939370	1603488939399	OK	 
REQUEST	12		request_2	1603488939345	1603488939397	OK	 
REQUEST	24		request_1	1603488939353	1603488939400	OK	 
REQUEST	23		request_1	1603488939350	1603488939401	OK	 
REQUEST	26		request_1	1603488939341	1603488939402	OK	 
REQUEST	19		request_1	1603488939349	1603488939402	OK	 
REQUEST	6		request_1	1603488939346	1603488939402	OK	 
REQUEST	22		request_1	1603488939359	1603488939403	OK	 
REQUEST	18		request_1	1603488939358	1603488939404	OK	 
REQUEST	19		request_2	1603488939360	1603488939404	OK	 
REQUEST	13		request_2	1603488939341	1603488939406	OK	 
REQUEST	15		request_1	1603488939343	1603488939406	OK	 
REQUEST	32		request_1	1603488939330	1603488939407	OK	 
