RUN	basic.CadastrarAnuncio1	cadastraranuncio1	1603501948450	teste	3.0.2
USER	CadastrarAnuncio	1	START	1603501950794	1603501950794
USER	CadastrarAnuncio	2	START	1603501950826	1603501950826
USER	CadastrarAnuncio	3	START	1603501950829	1603501950829
USER	CadastrarAnuncio	4	START	1603501950830	1603501950830
USER	CadastrarAnuncio	5	START	1603501950831	1603501950831
USER	CadastrarAnuncio	6	START	1603501950836	1603501950836
USER	CadastrarAnuncio	7	START	1603501950837	1603501950837
USER	CadastrarAnuncio	8	START	1603501950838	1603501950838
USER	CadastrarAnuncio	9	START	1603501950839	1603501950839
USER	CadastrarAnuncio	10	START	1603501950839	1603501950839
USER	CadastrarAnuncio	11	START	1603501950840	1603501950840
USER	CadastrarAnuncio	12	START	1603501950842	1603501950842
USER	CadastrarAnuncio	13	START	1603501950842	1603501950842
USER	CadastrarAnuncio	14	START	1603501950843	1603501950843
USER	CadastrarAnuncio	15	START	1603501950844	1603501950844
USER	CadastrarAnuncio	16	START	1603501950845	1603501950845
USER	CadastrarAnuncio	17	START	1603501950846	1603501950846
USER	CadastrarAnuncio	18	START	1603501950846	1603501950846
USER	CadastrarAnuncio	19	START	1603501950847	1603501950847
USER	CadastrarAnuncio	20	START	1603501950848	1603501950848
REQUEST	5		Gerar Token	1603501950832	1603501957393	OK	 
REQUEST	19		Gerar Token	1603501950848	1603501957389	OK	 
REQUEST	12		Gerar Token	1603501950842	1603501957317	OK	 
REQUEST	11		Gerar Token	1603501950841	1603501957393	OK	 
REQUEST	4		Gerar Token	1603501950830	1603501957384	OK	 
REQUEST	2		Gerar Token	1603501950827	1603501957387	OK	 
REQUEST	14		Gerar Token	1603501950844	1603501957394	OK	 
REQUEST	16		Gerar Token	1603501950846	1603501957317	OK	 
REQUEST	17		Gerar Token	1603501950846	1603501957317	OK	 
REQUEST	10		Gerar Token	1603501950840	1603501958806	OK	 
REQUEST	15		Gerar Token	1603501950845	1603501958806	OK	 
REQUEST	7		Gerar Token	1603501950837	1603501958815	OK	 
REQUEST	6		Gerar Token	1603501950836	1603501958892	OK	 
REQUEST	13		Gerar Token	1603501950843	1603501958893	OK	 
REQUEST	8		Gerar Token	1603501950838	1603501958928	OK	 
REQUEST	9		Gerar Token	1603501950839	1603501958941	OK	 
REQUEST	1		Gerar Token	1603501950823	1603501962533	OK	 
REQUEST	3		Gerar Token	1603501950829	1603501962533	OK	 
REQUEST	18		Gerar Token	1603501950847	1603501962533	OK	 
REQUEST	20		Gerar Token	1603501950848	1603501962533	OK	 
REQUEST	20		Post_Anuncio	1603501962540	1603501963397	OK	 
USER	CadastrarAnuncio	20	END	1603501950848	1603501963404
REQUEST	13		Post_Anuncio	1603501958908	1603501963492	OK	 
REQUEST	19		Post_Anuncio	1603501957494	1603501963492	OK	 
REQUEST	12		Post_Anuncio	1603501957495	1603501963492	OK	 
REQUEST	15		Post_Anuncio	1603501958812	1603501963492	OK	 
REQUEST	5		Post_Anuncio	1603501957494	1603501963493	OK	 
REQUEST	16		Post_Anuncio	1603501957495	1603501963493	OK	 
USER	CadastrarAnuncio	12	END	1603501950842	1603501963494
USER	CadastrarAnuncio	13	END	1603501950842	1603501963494
USER	CadastrarAnuncio	5	END	1603501950831	1603501963494
USER	CadastrarAnuncio	15	END	1603501950844	1603501963494
USER	CadastrarAnuncio	16	END	1603501950845	1603501963494
REQUEST	6		Post_Anuncio	1603501958897	1603501963495	OK	 
REQUEST	4		Post_Anuncio	1603501957494	1603501963495	OK	 
USER	CadastrarAnuncio	19	END	1603501950847	1603501963496
REQUEST	2		Post_Anuncio	1603501957495	1603501963495	OK	 
USER	CadastrarAnuncio	6	END	1603501950836	1603501963497
USER	CadastrarAnuncio	4	END	1603501950830	1603501963497
USER	CadastrarAnuncio	2	END	1603501950826	1603501963497
REQUEST	3		Post_Anuncio	1603501962541	1603501963959	OK	 
USER	CadastrarAnuncio	3	END	1603501950829	1603501963961
REQUEST	11		Post_Anuncio	1603501957495	1603501964197	OK	 
REQUEST	18		Post_Anuncio	1603501962541	1603501964197	OK	 
REQUEST	17		Post_Anuncio	1603501957495	1603501964197	OK	 
REQUEST	7		Post_Anuncio	1603501958818	1603501964197	OK	 
REQUEST	14		Post_Anuncio	1603501957495	1603501964197	OK	 
REQUEST	9		Post_Anuncio	1603501958948	1603501964197	OK	 
USER	CadastrarAnuncio	17	END	1603501950846	1603501964198
USER	CadastrarAnuncio	14	END	1603501950843	1603501964198
USER	CadastrarAnuncio	11	END	1603501950840	1603501964198
USER	CadastrarAnuncio	9	END	1603501950839	1603501964198
REQUEST	8		Post_Anuncio	1603501958930	1603501964199	OK	 
REQUEST	1		Post_Anuncio	1603501962540	1603501964199	OK	 
USER	CadastrarAnuncio	7	END	1603501950837	1603501964198
USER	CadastrarAnuncio	18	END	1603501950846	1603501964199
REQUEST	10		Post_Anuncio	1603501958812	1603501964200	OK	 
USER	CadastrarAnuncio	1	END	1603501950794	1603501964201
USER	CadastrarAnuncio	8	END	1603501950838	1603501964201
USER	CadastrarAnuncio	10	END	1603501950839	1603501964202
