RUN	basic.ListarAnuncios	listaranuncios	1603286431127	teste	3.0.2
USER	ListarAnuncios3	1	START	1603286433378	1603286433378
USER	ListarAnuncios3	2	START	1603286433381	1603286433381
USER	ListarAnuncios3	3	START	1603286433381	1603286433381
USER	ListarAnuncios3	4	START	1603286433382	1603286433382
USER	ListarAnuncios3	5	START	1603286433382	1603286433382
USER	ListarAnuncios3	6	START	1603286433382	1603286433382
USER	ListarAnuncios3	7	START	1603286433382	1603286433382
USER	ListarAnuncios3	8	START	1603286433382	1603286433382
USER	ListarAnuncios3	9	START	1603286433382	1603286433382
USER	ListarAnuncios3	10	START	1603286433382	1603286433382
USER	ListarAnuncios3	11	START	1603286433382	1603286433382
USER	ListarAnuncios3	12	START	1603286433383	1603286433383
USER	ListarAnuncios3	13	START	1603286433383	1603286433383
USER	ListarAnuncios3	14	START	1603286433383	1603286433383
USER	ListarAnuncios3	15	START	1603286433383	1603286433383
USER	ListarAnuncios3	16	START	1603286433383	1603286433383
USER	ListarAnuncios3	17	START	1603286433383	1603286433383
USER	ListarAnuncios3	18	START	1603286433383	1603286433383
USER	ListarAnuncios3	19	START	1603286433384	1603286433384
USER	ListarAnuncios3	20	START	1603286433384	1603286433384
USER	ListarAnuncios3	21	START	1603286433384	1603286433384
USER	ListarAnuncios3	22	START	1603286433384	1603286433384
USER	ListarAnuncios3	23	START	1603286433384	1603286433384
USER	ListarAnuncios3	24	START	1603286433384	1603286433384
USER	ListarAnuncios3	25	START	1603286433384	1603286433384
USER	ListarAnuncios3	26	START	1603286433384	1603286433384
USER	ListarAnuncios3	27	START	1603286433385	1603286433385
USER	ListarAnuncios3	28	START	1603286433385	1603286433385
USER	ListarAnuncios3	29	START	1603286433385	1603286433385
USER	ListarAnuncios3	30	START	1603286433385	1603286433385
USER	ListarAnuncios3	31	START	1603286433385	1603286433385
USER	ListarAnuncios3	32	START	1603286433385	1603286433385
USER	ListarAnuncios3	33	START	1603286433385	1603286433385
USER	ListarAnuncios3	34	START	1603286433385	1603286433385
USER	ListarAnuncios3	35	START	1603286433386	1603286433386
USER	ListarAnuncios3	36	START	1603286433386	1603286433386
USER	ListarAnuncios3	37	START	1603286433386	1603286433386
USER	ListarAnuncios3	38	START	1603286433386	1603286433386
USER	ListarAnuncios3	39	START	1603286433386	1603286433386
USER	ListarAnuncios3	40	START	1603286433386	1603286433386
USER	ListarAnuncios3	41	START	1603286433387	1603286433387
USER	ListarAnuncios3	42	START	1603286433387	1603286433387
USER	ListarAnuncios3	43	START	1603286433387	1603286433387
USER	ListarAnuncios3	44	START	1603286433387	1603286433387
USER	ListarAnuncios3	45	START	1603286433388	1603286433388
USER	ListarAnuncios3	46	START	1603286433388	1603286433388
USER	ListarAnuncios3	47	START	1603286433388	1603286433388
USER	ListarAnuncios3	48	START	1603286433388	1603286433388
USER	ListarAnuncios3	49	START	1603286433388	1603286433388
USER	ListarAnuncios3	50	START	1603286433392	1603286433392
USER	ListarAnuncios3	51	START	1603286433392	1603286433392
USER	ListarAnuncios3	52	START	1603286433392	1603286433392
USER	ListarAnuncios3	53	START	1603286433392	1603286433392
USER	ListarAnuncios3	54	START	1603286433392	1603286433392
USER	ListarAnuncios3	55	START	1603286433392	1603286433392
USER	ListarAnuncios3	56	START	1603286433393	1603286433393
USER	ListarAnuncios3	57	START	1603286433393	1603286433393
USER	ListarAnuncios3	58	START	1603286433393	1603286433393
