RUN	basic.ListarAnuncios2	listaranuncios2	1603205856681	teste	3.0.2
USER	ListarAnuncios2	1	START	1603205859013	1603205859013
USER	ListarAnuncios2	2	START	1603205859037	1603205859037
USER	ListarAnuncios2	3	START	1603205859040	1603205859040
USER	ListarAnuncios2	4	START	1603205859041	1603205859041
USER	ListarAnuncios2	5	START	1603205859041	1603205859041
USER	ListarAnuncios2	6	START	1603205859042	1603205859042
USER	ListarAnuncios2	7	START	1603205859042	1603205859042
USER	ListarAnuncios2	8	START	1603205859043	1603205859043
USER	ListarAnuncios2	9	START	1603205859044	1603205859044
USER	ListarAnuncios2	10	START	1603205859045	1603205859045
USER	ListarAnuncios2	11	START	1603205859045	1603205859045
USER	ListarAnuncios2	12	START	1603205859046	1603205859046
USER	ListarAnuncios2	13	START	1603205859047	1603205859047
USER	ListarAnuncios2	14	START	1603205859048	1603205859048
USER	ListarAnuncios2	15	START	1603205859048	1603205859048
USER	ListarAnuncios2	16	START	1603205859050	1603205859050
USER	ListarAnuncios2	17	START	1603205859050	1603205859050
USER	ListarAnuncios2	18	START	1603205859051	1603205859051
USER	ListarAnuncios2	19	START	1603205859051	1603205859051
USER	ListarAnuncios2	20	START	1603205859052	1603205859052
USER	ListarAnuncios2	21	START	1603205859052	1603205859052
USER	ListarAnuncios2	22	START	1603205859053	1603205859053
USER	ListarAnuncios2	23	START	1603205859053	1603205859053
USER	ListarAnuncios2	24	START	1603205859054	1603205859054
USER	ListarAnuncios2	25	START	1603205859054	1603205859054
USER	ListarAnuncios2	26	START	1603205859055	1603205859055
USER	ListarAnuncios2	27	START	1603205859056	1603205859056
USER	ListarAnuncios2	28	START	1603205859056	1603205859056
USER	ListarAnuncios2	29	START	1603205859057	1603205859057
USER	ListarAnuncios2	30	START	1603205859058	1603205859058
USER	ListarAnuncios2	31	START	1603205859058	1603205859058
USER	ListarAnuncios2	32	START	1603205859059	1603205859059
USER	ListarAnuncios2	33	START	1603205859059	1603205859059
USER	ListarAnuncios2	34	START	1603205859060	1603205859060
USER	ListarAnuncios2	35	START	1603205859060	1603205859060
