RUN	basic.TestAmei	testamei	1602013608409	tete	3.0.2
USER	POST Authentication	1	START	1602013610759	1602013610759
USER	POST Authentication	2	START	1602013610777	1602013610777
USER	POST Authentication	3	START	1602013610779	1602013610779
USER	POST Authentication	4	START	1602013610779	1602013610779
USER	POST Authentication	5	START	1602013610780	1602013610780
REQUEST	2		get	1602013610778	1602013616109	OK	 
REQUEST	5		get	1602013610781	1602013616109	OK	 
REQUEST	4		get	1602013610780	1602013616111	OK	 
REQUEST	3		get	1602013610779	1602013616109	OK	 
REQUEST	1		get	1602013610775	1602013616109	OK	 
USER	POST Authentication	5	END	1602013610780	1602013616152
USER	POST Authentication	2	END	1602013610777	1602013616152
USER	POST Authentication	1	END	1602013610759	1602013616152
USER	POST Authentication	4	END	1602013610779	1602013616152
USER	POST Authentication	3	END	1602013610779	1602013616152
